Client_name,Industry,Closed_pos,Interview_type,Gender,Curr_loc,Curr_job_loc,Interview_venue,Permission_status,Unscd_meet_status,Followup_status,AltNum_status,Resume_status,Venue_status,Call_letter_status,Ex_attend,Obs_attend,Matital_status,Skill
Hospira,Pharmaceuticals,Non-Routine,scheduled_walkin,Male,Chennai,hosur,hosur,yes,yes,yes,yes,yes,yes,yes,yes,no,Single,Routine
Hospira,Pharmaceuticals,Non-Routine,scheduled_walkin,Male,Chennai,bangalore,hosur,yes,yes,yes,yes,yes,yes,yes,yes,no,Single,Routine
Hospira,Pharmaceuticals,Non-Routine,scheduled_walkin,Male,Chennai,chennai,hosur,no,no,no,no,no,no,no,uncertain,no,Single,Routine
Hospira,Pharmaceuticals,Non-Routine,scheduled_walkin,Male,Chennai,chennai,hosur,yes,yes,no,yes,no,yes,yes,uncertain,no,Single,Routine
Hospira,Pharmaceuticals,Non-Routine,scheduled_walkin,Male,Chennai,bangalore,hosur,yes,yes,yes,yes,yes,yes,yes,uncertain,no,Married,Routine
Aon Hewitt,IT,Non-Routine,scheduled_walkin,Male,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Aon Hewitt,IT,Non-Routine,scheduled_walkin,Male,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Aon Hewitt,IT,Non-Routine,scheduled_walkin,Female,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Aon Hewitt,IT,Non-Routine,scheduled_walkin,Male,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Aon Hewitt,IT,Non-Routine,scheduled_walkin,Female,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,no,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Female,bangalore,bangalore,bangalore,no,yes,no,yes,yes,yes,yes,uncertain,no,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,no,yes,yes,yes,yes,yes,no,uncertain,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Female,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Female,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Female,bangalore,bangalore,bangalore,no,yes,yes,yes,yes,yes,yes,no,no,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,no,yes,yes,yes,yes,yes,no,no,no,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,yes,yes,yes,yes,no,yes,yes,uncertain,no,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,no,yes,yes,yes,yes,yes,no,no,no,Single,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,no,yes,yes,yes,yes,yes,no,no,no,Married,Routine
UST,IT,Non-Routine,scheduled_walkin,Male,bangalore,bangalore,bangalore,no,yes,yes,yes,no,yes,no,no,no,Single,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,no,uncertain,no,Single,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,no,yes,no,no,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Single,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,no,yes,no,no,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,no,yes,yes,no,no,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Routine
Standard Chartered Bank,BFSI,Non-Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,no,no,no,yes,Married,Routine
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Single,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Female,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,Married,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Oracle
Standard Chartered Bank,BFSI,Routine,scheduled_walkin,Male,Chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,Single,Oracle
